ID,medio,titulo_noticia,score_total
id_1,bbcl,Crean sistema para predecir de manera exacta en qué lugar habrá incendios: estaría listo en marzo,6
id_10,bbcl,¿Por el cambio climático? Encuentran raro pez de aguas profundas a metros de la superficie en EEUU,8
id_100,bbcl,"El biólogo chileno que puso en duda la teoría del origen de los primates: ""Ha sido muy controversial""",1
id_103,bbcl,Investigadores reinsertan 287 toromiros en Rapa Nui: árbol endémico estuvo extinto por 60 años,5
id_104,bbcl,El peligro que acecha a Rapa Nui: Moáis pueden desaparecer por el aumento del mar en algunos años más,-5
id_105,bbcl,Estadounidense muere por una bacteria carnívora tras hacerse mínima herida con el remolque de un bote,-3
id_107,bbcl,Golosos en alerta: crisis de las avellanas remece precios y golpearía a los amantes de la Nutella,-8
id_108,bbcl,No habrá lista única: dos partidos se bajan de pacto parlamentario al interior del oficialismo,4
id_109,bbcl,Rector de la UACh explica por qué cerrarán carreras técnicas y profesionales del campus Patagonia,2
id_11,bbcl,"5 preguntas y respuestas sobre la araña de rincón: la más mortal, presente en 90% de hogares de Chile",3
id_110,bbcl,Iniciativa capacita a funcionarios municipales del Bío Bío y Malleco en gestión de desastres naturales,0
id_111,bbcl,Deshielo de un glaciar deja al descubierto cuerpo de hombre desaparecido hace 28 años: estaba intacto,0
id_112,bbcl,"Científicos confirman que la raya diamante, con aguijón venenoso, llegó a Chile para quedarse",-1
id_113,bbcl,"China reportó 7 mil casos de virus ""chikunguña"" transmitido por mosquitos: OMS instó a tomar medidas",-2
id_114,bbcl,"Marius Borg, el problemático miembro de la realeza noruega en el que sobrecaen 23 denuncias",-12
id_115,bbcl,"El agua dulce está desapareciendo: encuentran 4 zonas de ""megasequedad"" que se expanden por la Tierra",2
id_117,bbcl,"Ola de calor récord azota a Finlandia y está afectando a los renos del ""Viejito Pascuero""",2
id_118,bbcl,Con foco en la electromovilidad: ¿Cómo avanza Chile hacia un transporte de carga más sustentable?,-1
id_119,bbcl,EEUU anuncia su salida de la Unesco por no contribuir a sus intereses,0
id_120,bbcl,Municipalidad de Valdivia anunció acciones contra sujeto que fue sorprendido botando basura en humedal,-1
id_121,bbcl,CMPC revela avances en sostenibilidad: destaca reducción de emisiones y gestión de residuos,0
id_122,bbcl,Reino Unido y Alemania pactan su mayor acuerdo de defensa mutua desde la Segunda Guerra Mundial,-2
id_123,bbcl,Metro de Nueva York inundado y dos muertos en Nueva Jersey: lluvias causan estragos al noreste de EEUU,1
id_124,bbcl,"Se viene el día más corto de la historia del planeta Tierra: entre 1,3 y 1,51 milisegundos menos",1
id_125,bbcl,"""Es como dispararse en los pies"": Mundaca critica al Ejecutivo por retraso de tren Valparaíso-Santiago",2
id_126,bbcl,No es solo un aumento de las temperaturas: por qué el cambio climático también significa frío extremo,-2
id_128,bbcl,"Lula busca que Brasil e India integren Consejo de Seguridad de la ONU: ""Hay países que animan guerras""",-4
id_129,bbcl,"Las abejas melíferas están eliminando el 80% del polen y dejan a las nativas sin nada, dice estudio",-2
id_13,bbcl,Incendios en la Patagonia argentina no cesan y ya han arrasado 21.000 hectáreas,2
id_131,bbcl,Con técnica Miyawaki: Gobierno de Santiago y Municipalidad de Peñalolén plantan más de mil árboles,2
id_132,bbcl,"James Hamilton, el denunciante de Karadima que encontró una explicación al abuso con el ""Homo exul""",-6
id_133,bbcl,Hallan parásitos y bacterias potencialmente peligrosas en 4% de ensaladas envasadas: cómo eliminarlos,-3
id_134,bbcl,"Reportan que el océano se está haciendo más salado en la Antártica: ""Es profundamente preocupante""",-7
id_135,bbcl,"ONU advierte sobre frío extremo en Chile y Argentina: ""la dureza de este evento es excepcional""",4
id_136,bbcl,Con un incómodo abrazo: Milei traspasa la presidencia del Mercosur a Lula,-5
id_137,bbcl,"El cóndor andino y otras 500 especies de aves se extinguirán en los próximos 100 años, según estudio",2
id_138,bbcl,"Gobierno defiende en el Senado la asistencia de Boric a foro de los BRICS: ""Es una decisión prudente""",9
id_139,bbcl,¿Quién es Lauren Sánchez? La futura esposa del magnate estadounidense Jeff Bezos,2
id_14,bbcl,"Congreso Futuro 2026 en vivo: sigue el evento por streaming y conoce programa, entradas y fechas",4
id_141,bbcl,Científicos de Escocia crean paracetamol a partir de residuos plásticos: usaron bacterias modificadas,-1
id_142,bbcl,Cuándo es el cambio de hora: la fecha de retorno al horario de verano y a los días más largos,1
id_143,bbcl,9 rituales populares durante la Noche de San Juan: se dice que algunos atraen el amor y la prosperidad,14
id_144,bbcl,Armada alerta por marejadas en 14 regiones del país con olas de hasta 5 metros,0
id_145,bbcl,USS se integra al Comité Oceanográfico Nacional: aportará con investigación en Ciencias del Mar,2
id_146,bbcl,Así será el invierno 2025 en Chile: adelantan condiciones extremas por el cambio climático,-1
id_147,bbcl,"Un nuevo proyecto eólico en Chiloé amenaza al río Huicha, un bosque nativo y una estación biológica",-4
id_148,bbcl,Arquitecturas efímeras del sur del mundo: Lecciones éticas y culturales desde la Tierra del Fuego,-2
id_149,bbcl,¿Por qué Marte perdió toda su agua? Científicos creen que un fenómeno natural pudo haberlo provocado,-2
id_15,bbcl,Temperatura de los océanos alcanzó máximos históricos en 2025: por qué es preocupante,5
