"id","titulo","artista","estrofa","estilo","ave_sentiment","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","fiesta"
"id_1","Punto y Seguido","ZPU","Que si la vida es un intento
Yo le estoy poniendo todo mi esfuerzo
Trabajándome y echándole el resto (Quiebro)
Sólo encuentro sentido, mejorando por dentro
Escribiendo mi punto y seguido","rap",1.25723711418742,0,1,0,0,0,0,0,0,"No"
"id_10","La banda dominguera","Tatiana","Tengo una banda dominguera que siempre toca en la plaza
Con una tuba grandota y unos platillos de lata
El perro que mueve la cola, el niño quiere un bizcocho
La abuela vende galletas y el cura pide devotos
Ay que el domingo me ensucian la plaza
Pensar que el domingo es para descansar
Y yo que vivo juntando papeles
Me voy a quejar a la municipalidad","pop",-0.488677777425221,0,1,1,1,1,1,0,1,"No"
"id_1004","Al final me quedo solo","Morad","Al final me quedo solo
Al final me quedo solo
Al final me quedo solo
Al final me quedo solo
Al final me quedo solo
Al final me quedo solo
Al final me quedo solo
Al final me quedo solo","rap",0,0,0,0,0,0,0,0,0,"No"
"id_1005","Bamboleo","Celia Cruz","Bamboleo, bambolea
Es que mi vida yo la prefiero
Vivir sin ti, vivir sin ti
Bamboleo, bambolea
Mi corazón se hizo trizas cuando me
Dejaste con tu sonrisa
Bamboleo, bambolea
Es que mi vida yo la prefiero vivir sin ti","pop",0,0,1,0,0,1,0,1,1,"No"
"id_101","Girlfriend","Rels B","Ella no es la chica del montón
Tiene a todo el barrio loco, chico, es my girlfriend
Pero mira cómo mueve el bombón
Se me van los ojos de la cara si baila my girlfriend
Ella no es la chica del montón
Tiene a todo el barrio loco, chico es my","rap",-0.595119035711904,2,0,2,2,0,2,2,0,"Si"
"id_1010","Quiéreme Mucho","Julio Iglesias","Cuando se quiere de veras
Como te quiero yo a ti
Es imposible mi cielo
Tan separados vivir
Cuando se quiere de veras
Como te quiere yo a ti
Es imposible mi cielo
Tan separado vivir..tan separado vivir","pop",-0.988033871712585,0,0,0,0,0,2,0,0,"No"
"id_1011","1.9.9.9","Orishas","A mi tu no me engañas
Yo soy maña de maraña
Me extraña que siendo araña
De la pared tu te caigas
Y asi entro mi voz, locolo, ruso feroz, locolo
Tu vas a ver que esto es poco
Lo que falta es mi tono para volverte loco
Hoy me diploman con el titulo honorario de Don Rima","pop",0.0787838597158335,3,1,3,4,0,1,1,1,"No"
"id_1013","El gato viudo","Tatiana","Gato:
Para curar el mar de amores dijeron los doctores que no había salvación
Ahora me dicen gato viudo porque una gata pudo quitarme lo chiqueon
Antes sacaba del mandado, me daba pa' mi helado, mi cine y mi futból
Ahora con lo que me ha pasado me tiene mas enfriado que un hielo de jaibol","pop",-0.400891862868637,0,0,0,0,0,1,0,0,"Si"
"id_1015","El rengo del gallo giro","Los Tigres Del Norte","Alla por aguas calientes
Un derby se celebraba
Y cuando entro aquel viejito
A los partidos retaba
Queria jugar dos millonmes
A una pelea extraordinaria","pop",0.6,1,0,0,0,0,0,1,0,"Si"
"id_1017","Rubia Sol Morena Luna","Caramelos de Cianuro","Y he aprendido que amar a dos
Es igual a no amar ninguna
Rubia sol, morena luna
Mi tragedia es mi fortuna
Y amar a dos
Es igual a no amar ninguna
Rubia sol, morena luna","pop",-2.33333333333333,0,3,0,1,3,1,3,3,"No"
"id_1019","La Moto","Mau y Ricky","Sú-Sú-Súbete a mi moto
No compré boleto', pero me gané la loto
La compré (La moto)
La compré (La moto; brru)
Sú-Sú-Súbete a mi moto
No compré boleto', pеro me gané la loto
Me compré (La moto)
Me—","pop",1.0029717747536,0,0,0,0,0,0,0,0,"No"
